Date,Lv,AP,Next,Cell#,UPC,Link,CF,X8,X7,R8,R7,PC8,PC7,US8,US7,GH,Recharge,Trekker,UPV,ResDeploy,ModDeploy,ResDestroy,Hack,ADA,JARVIS,AXA,LPC,SBUL,VRHS,VRMH
2016/03/01,15,26430469,40000000,NA,901,6955,3263,299,2,306,103,270,0,80,0,26177,45138169,1738,2186,38877,6294,36183,40377,135,188,98,3,,,
2016/03/02,15,26430599,40000000,NA,901,6955,3263,303,2,307,103,268,0,81,1,26177,45213692,1738,2186,38877,6294,36183,40377,135,188,98,3,,,
2016/03/03,15,26430729,40000000,NA,901,6955,3263,306,2,311,106,268,0,82,1,26177,45216548,1738,2186,38877,6294,36183,40377,135,188,99,12,,,
2016/03/04,15,26432331,40000000,NA,901,6955,3263,314,6,313,112,272,1,83,1,26193,45216548,1739,2186,38879,6294,36183,40380,136,188,99,12,,,
2016/03/05,15,26432781,40000000,NA,901,6955,3263,319,8,269,112,171,0,85,1,26193,45232515,1739,2186,38879,6294,36183,40384,137,188,99,12,,,
2016/03/06,15,26556116,40000000,NA,902,6964,3265,220,16,227,100,165,0,85,1,26331,45359781,1743,2187,39025,6336,36495,40499,138,188,100,13,,,
2016/03/07,15,26571451,40000000,128,903,6969,3267,221,19,229,112,166,0,85,1,26383,45387090,1744,2188,39051,6344,36519,40512,138,188,98,13,,,
2016/03/08,15,26612356,40000000,187,903,6970,3267,246,4,200,100,151,2,86,8,26458,45547053,1746,2188,39125,6366,36602,40615,138,191,100,14,,,
2016/03/09,15,26633382,40000000,244,905,6973,3267,217,7,198,112,148,0,84,0,26474,45638684,1747,2195,39163,6374,36626,40649,138,191,97,14,,,
2016/03/10,15,26680896,40000000,254,905,6984,3272,246,17,193,100,138,3,84,0,26597,45840786,1750,2195,39255,6401,36665,40756,138,192,99,16,,,
2016/03/11,15,26760959,40000000,250,906,7006,3283,271,0,151,104,122,3,84,3,26704,46173064,1754,2196,39423,6431,36779,40894,139,192,95,17,,,
2016/03/12,15,26845120,40000000,246,907,7028,3290,338,28,189,51,136,3,92,4,26879,46380794,1758,2196,39563,6459,36927,41046,139,193,96,19,,,
2016/03/13,15,27012017,40000000,NA,907,7052,3295,197,23,139,33,102,3,93,5,26972,46745248,1764,2197,39898,6509,37506,41206,140,193,96,20,,,
2016/03/14,15,27180136,40000000,133,934,7061,3300,52,1,114,14,102,3,93,2,26976,46746891,1770,2244,39987,6518,37887,41282,140,193,96,21,,,
2016/03/15,15,27200012,40000000,193,934,7062,3300,68,24,109,39,102,6,94,7,27049,46802311,1772,2244,40026,6524,37892,41374,140,193,96,22,,,
2016/03/16,15,27277684,40000000,241,935,7065,3300,87,33,94,43,108,10,94,7,27133,46944055,1777,2249,40166,6547,37998,41525,141,194,88,23,,,
2016/03/17,15,27331196,40000000,264,936,7073,3304,133,125,115,50,115,25,99,12,27363,47075141,1782,2249,40269,6564,38043,41690,136,195,84,23,,,
2016/03/18,15,27416080,40000000,294,937,7076,3305,191,153,130,50,120,46,101,4,27564,47158753,1788,2251,40355,6590,38155,41828,137,195,88,24,,,
2016/03/19,15,27460118,40000000,305,937,7090,3306,305,147,216,50,141,28,109,5,27736,47247837,1791,2251,40471,6609,38203,41915,140,95,85,25,,,
2016/03/20,15,27642525,40000000,310,938,7137,3318,332,68,167,65,95,0,110,9,27916,48077930,1798,2251,40804,6675,38540,42100,138,95,86,24,,,
2016/03/21,15,27644458,40000000,NA,938,7137,3318,336,70,168,68,95,0,111,9,27928,48221121,1799,2253,40814,6677,38540,42104,138,95,86,21,,,
2016/03/22,15,27749427,40000000,166,938,7152,3323,335,3,138,63,96,4,111,10,27992,48292947,1803,2253,40969,6697,38796,42219,139,95,86,23,,,
2016/03/23,15,27801320,40000000,231,939,7159,3324,367,31,152,56,105,13,116,12,28118,48417793,1806,2253,41039,6710,38868,42350,140,94,89,24,,,
2016/03/24,15,27841857,40000000,273,939,7163,3324,384,21,136,50,107,19,116,11,28168,48510709,1807,2253,41104,6717,38957,42433,140,94,89,25,,,
2016/03/25,15,27914867,40000000,298,939,7173,3326,364,8,110,40,107,23,117,10,28247,48632682,1812,2253,41232,6742,39192,42549,140,94,90,25,25,,
2016/03/26,15,28004889,40000000,308,939,7193,3334,306,32,98,48,110,35,119,11,28362,48680281,1815,2253,41387,6784,39287,42674,142,94,82,27,25,,
2016/03/27,15,28022829,40000000,297,940,7197,3337,417,44,97,81,111,43,121,1,28462,48715857,1817,2260,41410,6790,39295,42691,142,94,82,27,25,,
2016/03/28,15,28023596,40000000,NA,940,7197,3337,425,53,100,50,112,44,121,0,28470,48786763,1817,2260,41410,6790,39295,42695,142,94,83,27,25,,
2016/03/29,15,28108586,40000000,218,941,7215,3340,455,50,112,36,118,51,121,3,28638,48950082,1822,2261,41553,6829,39422,42841,142,94,75,28,26,,
2016/03/30,15,28191280,40000000,182,942,7245,3351,551,66,170,49,125,17,125,3,28942,49236841,1828,2261,41701,6860,39497,42991,142,94,76,31,25,,
2016/03/31,15,28278404,40000000,227,942,7255,3352,546,18,130,44,126,8,113,0,29062,49403321,1832,2261,41899,6913,39674,43103,141,94,67,31,26,,
2016/04/01,15,28353677,40000000,255,944,7261,3354,496,15,104,32,127,13,112,1,29111,49455550,1834,2264,42004,6923,39906,43197,141,97,67,31,26,,
2016/04/02,15,28371724,40000000,271,946,7261,3354,522,15,111,44,129,18,114,2,29155,49496665,1835,2265,42024,6927,39919,43264,141,97,67,31,26,,
2016/04/03,15,28463555,40000000,225,946,7289,3359,522,76,110,46,129,22,115,3,29357,49823092,1839,2270,42163,6954,40132,43418,142,97,67,31,26,,
2016/04/04,15,28472863,40000000,NA,947,7289,3359,523,52,107,42,129,16,117,3,29362,49823092,1840,2272,42181,6960,40180,43423,142,98,68,31,26,,
2016/04/05,15,28586636,40000000,180,948,7301,3361,449,4,105,24,130,14,119,2,29434,49872370,1844,2273,42306,6974,40456,43521,142,98,68,32,26,,
2016/04/06,15,28643987,40000000,195,948,7314,3366,427,8,90,20,131,13,120,2,29508,49922577,1847,2273,42385,6988,40541,43621,142,98,68,32,26,,
2016/04/07,15,28763005,40000000,187,949,7340,3375,471,49,135,65,150,9,120,4,29896,50029580,1851,2273,42632,7019,40762,43774,142,98,70,32,26,,
2016/04/08,15,28852273,40000000,202,949,7349,3381,430,4,142,57,149,0,120,4,29934,50135607,1853,2273,42714,7021,41031,43848,142,98,70,34,26,,
2016/04/09,15,28965566,40000000,159,949,7363,3385,373,8,124,45,145,3,125,4,30090,50182649,1857,2273,42895,7047,41249,43963,142,98,71,34,26,,
2016/04/10,15,29064638,40000000,183,949,7387,3390,336,11,124,30,145,1,120,6,30209,50327962,1861,2275,43064,7088,41477,44102,143,98,74,34,26,,
2016/04/11,15,29096129,40000000,208,949,7390,3392,342,2,142,41,144,0,118,0,30245,50327962,1862,2275,43090,7092,41501,44134,139,98,75,34,26,,
2016/04/12,15,29143860,40000000,204,949,7402,3393,361,25,145,51,145,13,118,2,30397,50369906,1866,2275,43143,7100,41593,44254,140,98,77,34,26,,
2016/04/13,15,29183666,40000000,294,949,7406,3394,387,43,157,50,150,13,123,0,30513,50379215,1868,2275,43204,7108,41633,44338,140,98,78,36,26,,
2016/04/14,15,29248532,40000000,300,949,7414,3396,408,14,154,50,156,34,115,0,30592,50432339,1871,2275,43273,7126,41768,44432,140,99,78,38,26,,
2016/04/15,15,29337170,40000000,NA,990,7421,3398,345,4,145,44,157,39,107,1,30653,50432339,1875,2341,43417,7146,42018,44523,139,101,77,40,27,,
2016/04/16,15,29515648,40000000,75,1030,7443,3400,215,0,114,21,157,46,101,0,30776,50447105,1882,2385,43690,7189,42343,44598,139,102,72,41,27,,
2016/04/17,15,29527496,40000000,NA,1032,7446,3401,200,10,123,24,160,51,103,2,30818,50458451,1882,2388,43721,7197,42363,44612,139,102,72,41,27,,
2016/04/18,15,29528484,40000000,NA,1032,7446,3401,214,11,129,27,166,34,106,2,30833,50603972,1883,2388,43721,7197,42363,44616,140,102,72,43,28,,
2016/04/19,15,29558028,40000000,NA,1032,7451,3402,231,25,134,36,169,40,106,3,30912,50712106,1886,2388,43748,7205,42424,44700,141,102,72,45,28,,
2016/04/20,15,29609385,40000000,NA,1032,7456,3402,255,19,144,52,175,52,107,4,30999,50831393,1889,2388,43794,7216,42533,44790,142,103,73,54,28,,
2016/04/21,15,29674648,40000000,304,1033,7466,3405,271,11,143,66,181,63,108,6,31162,50919269,1891,2388,43883,7234,42625,44897,143,103,73,57,29,,
2016/04/22,15,29726986,40000000,307,1033,7476,3408,288,22,141,42,184,56,110,7,31265,51071486,1895,2388,43985,7267,42690,45004,142,103,73,62,29,,
2016/04/23,15,29784841,40000000,339,1033,7485,3408,307,10,144,56,187,59,110,0,31386,51152428,1899,2388,44074,7286,42796,45120,141,103,74,63,30,,
2016/04/24,15,29881266,40000000,274,1033,7520,3421,290,17,133,38,188,28,113,4,31518,51401898,1902,2388,44296,7324,42927,45229,141,103,76,63,29,,
2016/04/25,15,29881766,40000000,292,1033,7520,3421,295,19,134,38,189,28,113,4,31518,51401898,1903,2388,44296,7324,42927,45234,141,103,76,63,29,,
2016/04/26,15,29953780,40000000,NA,1033,7522,3421,303,17,147,38,196,32,114,7,31603,51446126,1906,2388,44352,7346,43136,45367,140,105,77,64,30,,
2016/04/27,15,30016852,40000000,121,1033,7534,3429,327,5,167,34,201,16,115,0,31692,51601435,1910,2388,44400,7363,43242,45459,141,106,77,65,30,,
2016/04/28,15,30074361,40000000,135,1033,7547,3441,343,19,162,38,207,19,120,3,31858,51771115,1913,2388,44485,7379,43277,45582,141,108,79,65,29,,
2016/04/29,15,30133960,40000000,165,1034,7553,3445,371,15,167,40,212,31,120,0,32107,51897927,1917,2388,44561,7393,43374,45694,141,108,79,66,29,,
2016/04/30,15,30135163,40000000,189,1034,7554,3445,373,15,165,39,214,29,122,0,32107,51897927,1917,2388,44565,7395,43374,45696,141,108,79,66,29,,
2016/05/01,15,30237629,40000000,213,1034,7563,3448,379,6,148,40,215,20,124,2,32297,52053027,1919,2388,44688,7424,43615,45812,142,108,79,69,30,,
2016/05/02,15,30295638,40000000,219,1034,7568,3449,384,9,129,40,216,4,125,3,32413,52257048,1922,2388,44746,7440,43765,45921,142,108,79,70,31,,
2016/05/03,15,30382175,40000000,NA,1034,7579,3454,373,10,100,40,212,5,126,5,32552,52448659,1925,2388,44852,7461,43947,46049,144,109,81,71,32,,
2016/05/04,15,30384077,40000000,NA,1034,7579,3454,384,22,108,30,208,0,126,5,32560,52584642,1927,2388,44852,7461,43947,46085,144,109,81,71,32,,
2016/05/05,15,30387541,40000000,NA,1035,7579,3454,394,19,121,34,211,2,130,5,32590,52598244,1927,2390,44856,7463,43955,46099,143,110,81,72,32,,
2016/05/06,15,30389756,40000000,NA,1035,7579,3454,414,24,138,20,205,0,132,5,32590,52654032,1928,2390,44859,7463,43955,46111,144,110,81,74,32,,
2016/05/07,15,30487988,40000000,NA,1035,7591,3455,351,5,100,18,178,0,132,5,32717,52997066,1932,2390,44991,7498,44286,46240,145,110,81,75,35,,
2016/05/08,15,30496524,40000000,550,1035,7592,3455,361,12,119,25,183,3,135,4,32741,52997066,1933,2390,44999,7500,44294,46266,142,110,81,77,35,,
2016/05/09,15,30581276,40000000,457,1036,7607,3456,357,3,130,28,170,0,138,7,32853,53182474,1936,2390,45196,7512,44479,46346,142,110,77,77,33,,
2016/05/10,15,30657897,40000000,405,1036,7614,3460,327,2,112,34,163,0,139,4,32932,53258035,1939,2390,45248,7521,44612,46439,142,110,77,77,33,,
2016/05/11,15,30684529,40000000,NA,1036,7617,3460,339,9,123,34,143,1,141,4,33018,53543392,1942,2390,45294,7539,44655,46530,143,111,77,77,33,,
2016/05/12,15,30751410,40000000,188,1036,7630,3463,324,11,130,43,131,0,142,4,33094,53655743,1944,2390,45358,7553,44786,46621,144,111,79,77,33,,
2016/05/13,15,30821972,40000000,215,1036,7642,3469,332,31,128,70,128,5,144,2,33213,53709571,1947,2390,45426,7575,44897,46728,145,111,80,79,33,,
2016/05/14,15,30949226,40000000,228,1036,7669,3484,333,16,126,95,122,0,144,3,33363,53867782,1951,2390,45547,7598,45123,46836,145,112,80,81,33,,
2016/05/15,15,31215913,40000000,8667,1127,7697,3490,115,0,118,0,123,0,148,6,33428,53930723,1961,2551,46031,7616,46006,47085,145,111,81,81,33,,
2016/05/16,15,31281655,40000000,258,1150,7713,3491,68,8,118,8,123,7,148,4,33479,53930723,1963,2590,46135,7625,46174,47199,145,111,81,81,33,,
2016/05/17,15,31309221,40000000,276,1150,7719,3493,100,41,142,27,128,13,153,6,33638,54119725,1965,2590,46162,7635,46182,47297,144,111,81,81,33,,
2016/05/18,15,31372045,40000000,32,1150,7726,3495,153,74,151,91,136,31,153,3,33895,54277861,1969,2590,46271,7654,46249,47433,144,111,82,82,33,,
2016/05/19,15,31461380,40000000,124,1150,7743,3495,172,22,148,90,141,27,153,14,33988,54419784,1972,2590,46404,7679,46409,47539,144,111,82,83,33,,
2016/05/20,15,31495876,40000000,163,1150,7743,3495,196,23,161,110,150,18,155,15,34123,54623523,1974,2590,46439,7690,46493,47637,143,112,83,86,33,,
2016/05/21,15,31602015,40000000,197,1150,7763,3496,241,12,149,47,156,1,157,15,34379,54838398,1978,2590,46657,7742,46619,47773,141,113,87,87,33,,
2016/05/22,15,31623246,40000000,184,1150,7769,3498,258,6,162,40,153,0,159,0,34453,54892290,1980,2590,46673,7746,46635,47787,140,113,86,88,33,,
2016/05/23,15,31647379,40000000,210,1154,7774,3499,259,0,165,47,149,0,161,0,34479,54938635,1981,2593,46735,7752,46662,47821,136,113,86,88,33,45,55
2016/05/24,15,31727863,40000000,225,1154,7794,3506,280,25,153,56,122,7,163,2,34646,55277482,1986,2593,46855,7780,46721,47945,137,114,86,89,33,45,55
2016/05/25,15,31806156,40000000,NA,1155,7825,3519,309,0,146,35,124,6,167,2,34768,55455798,1989,2594,47006,7797,46831,48036,138,115,86,90,33,45,56
2016/05/26,15,31886120,40000000,91,1155,7846,3526,327,26,140,50,112,8,167,1,34921,55696961,1992,2594,47086,7812,46921,48129,138,115,88,90,34,45,56
2016/05/27,15,31986416,40000000,131,1155,7871,3532,293,0,118,36,105,0,168,0,34984,55923370,1996,2594,47248,7850,47113,48238,137,100,88,90,35,45,56
2016/05/28,15,32051689,40000000,165,1155,7882,3537,317,6,112,29,109,2,170,1,35140,55967012,1999,2594,47388,7888,47171,48355,138,101,88,91,35,46,56
2016/05/29,15,32080913,40000000,199,1155,7891,3539,339,16,123,49,113,6,172,2,35156,55976112,2001,2594,47477,7890,47203,48421,138,102,90,91,35,46,57
2016/05/30,15,32082428,40000000,220,1155,7891,3539,348,17,122,49,114,6,174,2,35156,55991001,2002,2594,47479,7892,47204,48426,138,102,90,91,35,46,57
2016/05/31,15,32174031,40000000,229,1155,7906,3541,337,16,129,51,119,4,176,0,35299,56141453,2006,2594,47663,7921,47397,48540,139,102,90,92,35,47,58
2016/06/01,15,32230239,40000000,241,1155,7918,3545,355,10,140,68,118,4,176,1,35390,56240451,2008,2594,47746,7939,47509,48645,138,102,90,93,35,47,58
2016/06/02,15,32323445,40000000,94,1155,7950,3594,399,40,133,42,125,13,180,4,35617,56528658,2013,2594,47855,7977,47623,48785,140,100,90,94,35,47,58
2016/06/03,15,32417519,40000000,146,1155,7974,3572,377,1,130,40,131,1,181,6,35743,56707726,2015,2594,47977,8003,47793,48880,140,100,90,96,35,47,59
2016/06/04,15,32559515,40000000,166,1155,8007,3589,370,6,132,38,102,1,185,0,35939,57024097,2019,2594,48148,8041,48016,49003,139,102,91,97,35,47,60
2016/06/05,15,32598190,40000000,196,1156,8016,3593,346,8,138,43,97,1,187,0,36022,57125478,2022,2597,48191,8051,48056,49053,136,101,91,98,35,47,61
2016/06/06,15,32600135,40000000,223,1156,8016,3593,366,22,146,40,100,4,188,0,36038,57155748,2022,2598,48191,8051,48056,49082,132,101,92,98,36,48,62
2016/06/07,15,32608732,40000000,244,1156,8016,3593,371,28,142,39,103,6,191,0,36050,57211297,2024,2599,48231,8065,48067,49101,133,103,92,98,36,48,62
2016/06/08,15,32669721,40000000,250,1156,8033,3598,390,13,115,52,107,17,195,3,36146,57314992,2027,2599,48380,8094,48092,49220,132,104,92,100,37,48,62
2016/06/09,15,32753600,40000000,119,1156,8041,3601,376,23,107,50,110,19,196,8,36271,57393210,2030,2599,48512,8115,48268,49327,130,101,92,100,37,48,62
2016/06/10,15,32820374,40000000,205,1156,8056,3606,398,9,113,60,111,24,197,10,36376,57516303,2033,2599,48609,8131,48363,49438,130,102,93,101,37,49,63
2016/06/11,15,32904153,40000000,246,1156,8074,3610,407,10,121,40,114,24,198,11,36515,57714979,2036,2599,48719,8152,48537,49559,129,102,93,102,37,49,63
2016/06/12,15,32962659,40000000,238,1156,8093,3617,422,18,130,40,119,12,199,10,36536,57885411,2039,2599,48811,8158,48671,49646,126,101,93,102,37,49,63
2016/06/13,15,32971164,40000000,270,1157,8094,3617,431,20,126,39,120,3,202,5,36552,57979312,2040,2601,48842,8162,48687,49657,126,102,93,102,37,49,63
2016/06/14,15,33049920,40000000,284,1157,8111,3622,429,7,138,35,114,0,206,5,36642,58190102,2043,2601,49012,8185,48869,49757,126,100,94,104,37,49,63
2016/06/15,15,33143458,40000000,285,1157,8129,3626,390,9,149,18,110,0,207,0,36808,58329558,2046,2601,49157,8210,49043,49864,126,100,94,105,38,50,63
2016/06/16,15,33209637,40000000,NA,1157,8177,3643,423,20,152,32,114,5,208,0,36896,58423336,2049,2601,49257,8223,49078,49973,123,100,95,108,38,50,64
2016/06/17,15,33209667,40000000,NA,1157,8177,3643,426,20,153,32,115,5,209,0,36896,58423336,2049,2601,49257,8223,49078,49973,123,100,96,108,38,50,64
2016/06/18,15,33310132,40000000,228,1157,8197,3648,410,2,143,14,117,0,210,3,37017,58577261,2053,2601,49472,8248,49308,50104,124,100,96,108,38,50,64
2016/06/19,15,33326327,40000000,244,1157,8200,3649,431,7,167,32,124,3,214,1,37067,58603398,2055,2601,49502,8254,49324,50143,118,100,96,108,38,50,64
2016/06/20,15,33328399,40000000,282,1158,8200,3649,443,10,171,34,125,2,216,2,37067,58610598,2055,2601,49507,8258,49330,50159,117,100,96,108,38,50,64
2016/06/21,15,33397819,40000000,284,1158,8216,3653,416,11,154,12,129,1,216,3,37137,58710340,2058,2601,49654,8290,49465,50254,116,100,96,108,38,50,65
2016/06/22,15,33461217,40000000,295,1158,8233,3660,407,13,156,14,130,4,218,3,37180,58787922,2061,2601,49778,8305,49530,50345,115,100,96,108,38,50,65
2016/06/23,15,33544072,40000000,264,1158,8251,3665,396,5,136,8,129,0,218,3,37325,58939518,2064,2601,49941,8335,49682,50454,115,101,96,110,38,50,65
2016/06/24,15,33610649,40000000,181,1158,8262,3667,388,21,148,17,130,4,221,3,37424,59007246,2068,2601,49999,8338,49796,50565,114,102,96,112,39,50,65
2016/06/25,15,33669830,40000000,201,1159,8283,3670,396,11,138,13,134,8,223,4,37491,59069393,2071,2601,50138,8354,49887,50706,113,103,99,112,39,50,66
2016/06/26,15,33672326,40000000,269,1159,8283,3670,428,14,162,20,131,0,224,4,37551,59212529,2072,2601,50138,8354,49887,50716,113,100,99,112,39,50,66
2016/06/27,15,33737516,40000000,244,1162,8299,3675,385,2,144,10,126,0,224,4,37555,59322428,2075,2606,50231,8366,50045,50744,113,100,99,112,39,50,66
2016/06/28,15,33781664,40000000,223,1162,8313,3684,412,5,146,20,130,0,227,7,37696,59514638,2078,2606,50286,8376,50073,50863,113,100,100,113,39,50,66
2016/06/29,15,33830259,40000000,215,1162,8331,3689,428,20,141,29,131,4,229,7,37820,59602562,2080,2606,50376,8412,50117,50954,114,100,104,115,39,50,66
2016/06/30,15,33881849,40000000,232,1163,8346,3695,444,1,130,20,119,3,232,7,37940,59855326,2084,2610,50462,8435,50171,51073,109,100,105,118,39,50,66
2016/07/01,15,33969725,40000000,114,1163,8362,3705,439,7,103,30,115,0,234,10,38069,60047393,2087,2610,50558,8463,50317,51206,109,102,105,119,38,50,66
2016/07/02,15,34031636,40000000,130,1163,8383,3712,421,11,99,30,116,0,238,10,38150,60230978,2090,2610,50635,8471,50412,51306,110,103,108,120,38,50,66
2016/07/03,15,34076541,40000000,116,1163,8390,3714,286,8,101,48,116,0,243,0,38211,60322665,2094,2610,50670,8485,50484,51357,109,103,96,120,38,50,66
2016/07/04,15,34086565,40000000,152,1163,8390,3714,306,5,121,57,117,2,244,1,38276,60359380,2096,2610,50680,8487,50492,51387,110,100,96,121,38,50,67
2016/07/05,15,34112265,40000000,187,1163,8394,3715,320,23,127,63,117,0,246,2,38330,60519398,2098,2610,50720,8497,50517,51498,111,101,96,121,38,50,67
2016/07/06,15,34152783,40000000,187,1163,8394,3715,346,13,132,74,118,8,250,5,38435,60636575,2101,2610,50792,8526,50573,51588,111,101,96,123,38,51,67
2016/07/07,15,34205375,40000000,210,1163,8413,3718,381,1,146,112,120,11,253,8,38604,60836450,2104,2610,50850,8553,50659,51709,112,100,98,125,38,51,67
2016/07/08,15,34237727,40000000,NA,1163,8421,3720,407,8,167,120,127,6,256,9,38689,61015374,2107,2610,50906,8559,50671,51847,107,100,98,127,38,51,67
2016/07/09,15,34282155,40000000,114,1163,8423,3721,423,5,175,133,125,7,261,11,38795,61141012,2109,2610,50955,8566,50769,51958,107,100,99,129,40,51,67
2016/07/10,15,34284506,40000000,159,1163,8423,3721,428,4,179,139,125,6,262,9,38811,61190461,2110,2610,50957,8568,50770,51971,107,100,99,130,40,51,67
2016/07/11,15,34285131,40000000,210,1163,8423,3721,436,12,183,142,127,2,264,9,38811,61226503,2111,2610,50958,8568,50770,51984,106,100,99,130,41,51,67
2016/07/12,15,34322834,40000000,235,1163,8426,3721,460,15,188,131,118,0,269,7,38907,61469898,2114,2610,51026,8588,50804,52102,106,100,100,130,41,51,67
2016/07/13,15,34361104,40000000,256,1163,8427,3721,497,7,182,172,122,1,272,14,39010,61615684,2118,2610,51090,8609,50864,52204,106,100,100,132,41,51,67
2016/07/14,15,34418731,40000000,263,1163,8437,3726,544,2,194,192,120,3,275,1,39150,61789058,2121,2610,51164,8627,50921,52314,107,100,100,132,42,52,67
2016/07/15,16,34463368,40000000,NA,1164,8451,3734,588,13,189,53,119,0,283,3,39298,62033403,2123,2610,51238,8652,50966,52419,102,100,101,134,43,52,67
2016/07/16,15,34550006,40000000,2283,1176,8462,3737,686,0,180,126,122,0,287,0,39478,62147969,2129,2641,51402,8695,51116,52600,101,100,101,134,43,51,66
2016/07/17,15,34720159,40000000,2570,1214,8486,3743,498,0,204,87,168,0,223,1,39676,62600038,2142,2753,51761,8826,51578,52807,102,97,1,127,45,58,72
2016/07/18,15,34866521,40000000,320,1292,8498,3744,312,15,197,55,170,7,224,2,39745,62702873,2148,2876,52036,8851,52084,52997,97,97,2,126,46,58,72
2016/07/19,15,34869411,40000000,387,1292,8498,3744,332,26,211,60,173,10,224,3,39745,62765453,2148,2879,52041,8853,52084,53036,98,101,4,126,48,58,73
2016/07/20,15,34935942,40000000,260,1292,8513,3748,353,4,192,44,173,4,226,0,39831,62923928,2152,2879,52144,8880,52178,53148,98,101,4,126,48,58,73
2016/07/21,15,34994762,40000000,293,1292,8523,3749,285,7,193,45,178,5,229,7,39885,63008083,2155,2879,52271,8907,52237,53240,99,102,4,128,48,58,73
2016/07/22,15,35040027,40000000,302,1292,8530,3752,310,15,194,83,180,2,235,6,40001,63152046,2158,2879,52322,8922,52307,53351,99,102,4,129,49,58,73
2016/07/23,15,35096018,40000000,NA,1292,8534,3755,295,13,198,65,175,4,237,2,40076,63220537,2160,2879,52349,8926,52394,53436,99,102,5,129,49,58,73
2016/07/24,15,35099652,40000000,NA,1292,8534,3755,314,9,221,48,171,5,239,2,40091,63305393,2162,2879,52350,8926,52404,53474,98,102,5,129,49,58,73
2016/07/25,15,35100838,40000000,NA,1292,8536,3755,320,10,226,30,170,0,244,2,40091,63401220,2163,2879,52350,8926,52404,53479,98,103,5,129,49,58,73
2016/07/26,15,35161167,40000000,268,1294,8543,3758,311,1,210,27,160,0,247,1,40150,63607216,2166,2879,52418,8938,52529,53586,98,103,6,130,49,58,73
2016/07/27,15,35222935,40000000,250,1295,8564,3769,298,23,197,30,150,0,249,2,40202,63868214,2168,2879,52534,8963,52608,53682,97,103,6,130,49,58,73
2016/07/28,15,35286141,40000000,59,1297,8572,3775,295,2,194,27,139,0,257,4,40245,63888313,2171,2892,52602,8983,52728,53731,97,103,6,132,49,58,73
2016/07/29,15,35313554,40000000,59,1301,8575,3776,510,0,166,2,116,0,275,0,40601,63985073,2174,2907,52635,8983,52733,53825,97,103,10,134,49,58,73
2016/07/30,15,35336755,40000000,8,1301,8582,3779,479,5,233,10,109,0,271,0,40689,64006279,2175,2909,52676,8988,52767,53860,95,104,10,136,49,58,73
2016/07/31,15,35353394,40000000,NA,1302,8584,3779,462,0,224,8,112,0,272,0,40705,64064229,2176,2911,52726,8999,52800,53897,96,104,10,137,49,58,75
2016/08/01,15,35355273,40000000,NA,1302,8584,3779,477,4,247,8,111,0,273,0,40750,64116682,2176,2911,52726,8999,52800,53901,96,105,10,137,49,58,75
2016/08/02,15,35402814,40000000,290,1302,8594,3789,402,14,237,8,103,0,274,0,40771,64337905,2178,2911,52819,9014,52937,54003,97,105,11,137,49,58,76
2016/08/03,15,35506373,40000000,185,1302,8624,3792,390,16,194,18,105,4,280,2,40823,64457565,2182,2911,53020,9044,53180,54143,97,106,12,137,50,58,76
2016/08/04,15,35565948,40000000,178,1302,8654,3807,402,17,179,36,106,16,283,3,40899,64541733,2185,2911,53129,9066,53201,54259,97,106,13,137,51,60,77
2016/08/05,15,35671326,40000000,150,1302,8688,3824,339,5,147,8,108,0,283,6,40967,64805686,2190,2911,53304,9101,53404,54400,97,106,13,137,51,61,77
2016/08/06,15,35731985,40000000,NA,1302,8704,3830,330,8,130,8,112,4,283,8,41071,64986201,2194,2911,53424,9117,53506,54526,97,106,13,138,52,61,77
2016/08/07,15,35739889,40000000,NA,1302,8707,3831,335,7,130,15,115,6,284,8,41091,65081069,2194,2911,53438,9121,53514,54552,97,106,13,139,53,61,78
2016/08/08,15,35742245,40000000,78,1302,8708,3832,339,10,133,17,115,6,285,8,41099,65081069,2195,2911,53441,9123,53514,54553,97,106,13,139,53,61,78
2016/08/09,15,35788670,40000000,93,1303,8729,3838,320,11,116,27,115,11,291,8,41160,65138891,2198,2911,53510,9134,53580,54652,97,106,13,140,53,61,78
2016/08/10,15,35856740,40000000,95,1303,8762,3849,291,9,86,44,110,0,294,3,41213,65389023,2200,2911,53648,9150,53643,54759,97,106,13,141,53,61,79
2016/08/11,15,35913464,40000000,106,1303,8780,3849,323,2,82,83,116,4,301,0,41302,65509235,2203,2933,53767,9168,53677,54899,97,106,13,144,53,61,80
2016/08/12,15,35957744,40000000,115,1311,8792,3864,254,7,79,94,118,4,286,1,41373,65619117,2206,2933,53866,9184,53769,54960,97,106,13,144,53,61,80
2016/08/13,15,35957754,40000000,NA,1311,8792,3864,258,7,79,94,118,4,293,1,41373,65619117,2206,2933,53866,9184,53769,54960,97,106,13,145,53,61,80
2016/08/14,15,35957984,40000000,NA,1311,8792,3864,263,8,86,95,119,4,299,1,41373,65663748,2207,2933,53866,9184,53769,54964,97,106,13,145,53,61,80
2016/08/15,15,35961096,40000000,NA,1312,8792,3864,276,4,91,99,123,5,304,1,41388,65722592,2207,2933,53875,9184,53777,54980,98,106,14,145,53,61,80
2016/08/16,15,35964595,40000000,NA,1312,8793,3864,291,2,120,106,132,5,305,7,41448,65764996,2208,2933,53875,9186,53777,54997,100,107,14,145,55,61,81
